top5_avg,top10_avg,top15_avg,n_3plus_top10,n_3plus_top15,n_2plus_top10,n_zero_top10,config,time_s
0.64,1.12,1.8,3,12,16,13,BB3(1.0_0.85_0.65)_w0.33_0.33,0.1
0.64,1.14,1.8,3,14,16,12,BB3(1.0_0.85_0.65)_w0.5_0.25,0.1
0.68,1.18,1.86,3,12,18,12,BB3(0.95_0.8_0.55)_w0.4_0.3,0.1
0.64,1.22,1.76,3,11,18,10,BB3(0.99_0.8_0.5)_w0.4_0.3,0.1
0.6,1.12,1.78,3,11,15,12,BB3(1.0_0.9_0.6)_w0.4_0.3,0.1
0.66,1.12,1.82,3,13,16,13,BB3(1.0_0.9_0.6)_w0.33_0.33,0.1
0.64,1.2,1.9,3,13,19,12,BB(0.95_0.55)_w0.5,0.1
0.54,1.3,1.74,3,9,22,10,BB(0.97_0.55)_w0.2,0.1
0.66,1.2,1.84,3,13,19,12,BB(0.97_0.55)_w0.6,0.1
0.58,1.16,1.82,3,11,18,13,BB(0.97_0.55)_w0.5,0.1
0.56,1.22,1.8,3,11,19,11,BB(0.97_0.55)_w0.4,0.1
0.62,1.12,1.76,3,11,16,13,BB3(1.0_0.85_0.65)_w0.4_0.3,0.1
0.64,1.22,1.74,3,14,18,11,BB3(1.0_0.95_0.85)_w0.4_0.3,0.1
0.62,1.2,1.72,3,13,18,12,BB3(1.0_0.95_0.85)_w0.5_0.3,0.1
0.68,1.18,1.7,3,12,17,12,BB3(1.0_0.95_0.85)_w0.33_0.33,0.1
0.6,1.16,1.68,3,12,17,13,BB3(1.0_0.95_0.85)_w0.5_0.25,0.1
0.7,1.26,1.66,3,10,17,8,Freq+BB(0.85)_wf0.5,0.1
0.58,0.96,1.5,3,7,13,18,Freq+BB(0.99)_wf0.5,0.1
0.62,1.16,1.76,3,10,16,11,BB3(0.99_0.8_0.5)_w0.33_0.33,0.1
0.6,1.2,1.8,3,12,17,10,BB3(0.99_0.8_0.5)_w0.5_0.25,0.1
0.62,1.14,1.74,3,10,16,12,Freq+BB(0.7)_wf0.3,0.1
0.64,1.22,1.7,3,10,16,9,Freq+BB(0.85)_wf0.3,0.1
0.64,1.16,1.78,3,12,17,12,BB3(1.0_0.9_0.6)_w0.5_0.25,0.1
0.68,1.14,1.84,3,12,17,13,BB3(0.95_0.8_0.55)_w0.33_0.33,0.1
0.56,1.18,1.68,3,9,17,11,Freq+BB(0.7)_wf0.5,0.1
0.56,1.26,1.7,2,10,21,10,BB(0.99_0.5)_w0.2,0.1
0.56,1.28,1.74,2,9,22,10,BB(0.95_0.5)_w0.2,0.1
0.56,1.26,1.72,2,10,22,11,BB(d=0.5),0.1
0.56,1.26,1.76,2,9,21,10,BB(0.99_0.5)_w0.3,0.1
0.56,1.26,1.76,2,9,21,10,BB(0.99_0.5)_w0.4,0.1
0.58,1.2,1.74,2,12,18,10,BB(0.99_0.5)_w0.6,0.1
0.68,1.14,1.7,2,13,16,11,BB3(1.0_0.9_0.6)_w0.6_0.25,0.1
