top10_5of5,top12_5of5,top15_5of5,top20_5of5,top25_5of5,top30_5of5,top40_5of5,top45_5of5,top10_3plus,top12_3plus,top15_3plus,top20_3plus,top25_3plus,top30_3plus,top40_3plus,top45_3plus,config
0,0,0,0,2,7,24,36,4,10,11,21,28,37,47,50,"PB(w100,d0.97,nl7,pw0.2)"
0,0,0,0,2,5,23,37,4,10,12,20,28,38,48,50,"PB(w100,d0.97,nl7,pw0.3)"
0,0,0,0,1,6,23,37,3,9,12,19,31,38,49,50,"PB(w100,d0.97,nl7,pw0.4)"
0,0,0,0,2,4,22,33,3,4,7,22,34,39,48,50,"PB(w150,d0.85,nl3,pw0.2)"
0,0,0,0,2,4,22,33,4,4,8,22,32,38,49,50,"PB(w150,d0.85,nl3,pw0.3)"
0,0,0,1,1,5,22,36,4,5,9,23,31,38,49,50,"PB(w150,d0.85,nl3,pw0.4)"
0,0,0,0,2,4,21,35,3,4,9,21,33,39,49,50,"PB(w150,d0.85,nl5,pw0.2)"
0,0,0,0,2,5,23,33,3,5,9,22,32,38,49,50,"PB(w150,d0.85,nl5,pw0.3)"
0,0,0,0,2,4,25,35,3,6,11,24,32,38,49,50,"PB(w150,d0.85,nl5,pw0.4)"
0,0,0,0,3,4,20,34,3,4,9,21,32,39,49,50,"PB(w150,d0.85,nl7,pw0.2)"
0,0,0,0,2,4,24,34,3,4,10,22,32,39,49,50,"PB(w150,d0.85,nl7,pw0.3)"
0,0,0,0,2,5,25,35,4,5,12,22,32,39,49,50,"PB(w150,d0.85,nl7,pw0.4)"
0,0,0,0,0,6,21,35,6,8,12,23,30,37,49,50,"PB(w150,d0.92,nl3,pw0.2)"
0,0,0,0,1,5,20,35,5,7,14,23,31,36,49,50,"PB(w150,d0.92,nl3,pw0.3)"
0,0,0,0,1,4,23,34,4,5,12,23,31,37,47,50,"PB(w150,d0.92,nl3,pw0.4)"
0,0,0,0,1,7,21,35,4,8,12,23,30,36,49,50,"PB(w150,d0.92,nl5,pw0.2)"
0,0,0,0,1,5,23,35,4,7,12,22,30,34,49,50,"PB(w150,d0.92,nl5,pw0.3)"
0,0,0,0,2,5,25,34,4,6,12,25,29,37,48,50,"PB(w150,d0.92,nl5,pw0.4)"
0,0,0,0,1,7,21,36,4,7,12,22,31,36,49,50,"PB(w150,d0.92,nl7,pw0.2)"
0,0,0,0,1,7,23,34,4,7,12,21,30,36,49,50,"PB(w150,d0.92,nl7,pw0.3)"
0,0,0,0,2,5,25,36,4,7,13,22,30,35,48,50,"PB(w150,d0.92,nl7,pw0.4)"
0,0,0,0,1,4,24,37,5,7,14,23,29,36,48,50,"PB(w150,d0.95,nl3,pw0.2)"
0,0,0,0,0,3,25,36,5,7,12,25,30,36,47,50,"PB(w150,d0.95,nl3,pw0.3)"
0,0,0,0,0,3,25,35,3,7,12,23,29,37,48,50,"PB(w150,d0.95,nl3,pw0.4)"
0,0,0,0,1,5,25,38,5,7,13,24,27,36,48,50,"PB(w150,d0.95,nl5,pw0.2)"
0,0,0,0,0,5,25,37,5,7,13,22,28,37,47,50,"PB(w150,d0.95,nl5,pw0.3)"
0,0,0,0,0,6,25,37,3,10,12,18,29,36,48,50,"PB(w150,d0.95,nl5,pw0.4)"
0,0,0,0,1,5,25,37,4,7,13,24,28,38,48,50,"PB(w150,d0.95,nl7,pw0.2)"
0,0,0,0,1,5,26,38,6,7,13,22,30,37,47,50,"PB(w150,d0.95,nl7,pw0.3)"
0,0,0,0,0,7,27,38,4,10,12,21,30,39,48,50,"PB(w150,d0.95,nl7,pw0.4)"
